Item,Effect,Set,Path
Raven Grimoire,Your Special applies CURSE.,Arcane,sprites/Raven_Grimoire_Icon.webp
Blackwing Staff,Your Primary applies CURSE.,Arcane,sprites/Blackwing_Staff_Icon.webp
Curse Talon,Your Secondary applies CURSE.,Arcane,sprites/Curse_Talon_Icon.webp
Darkmagic Blade,"Every 10 seconds, slices the air around you dealing 300 damage and applying CURSE to nearby enemies.",Arcane,sprites/Darkmagic_Blade_Icon.webp
Witch's Cloak,"Your Secondary deals 10% more damage.
Debuffs you place deal 70% more damage.",Arcane,sprites/Witch's_Cloak_Icon.webp
Crowfeather Hairpin,"Increases Special damage by 20%.
When you place a debuff on an opponent, your Special has a 50% chance of resetting.",Arcane,sprites/Crowfeather_Hairpin_Icon.webp
Redblack Ribbon,"You deal 5% more damage.
When you place a debuff on an opponent, your Defensive has a 50% chance of resetting.",Arcane,sprites/Redblack_Ribbon_Icon.webp
Opal Necklace,"When you use your Defensive, apply CURSE to all enemies.",Arcane,sprites/Opal_Necklace_Icon.webp
Sleeping Greatbow,"Every 6 seconds, fires a slow-moving projectile at your targeted enemy that deals 200 damage.",Night,sprites/Sleeping_Greatbow_Icon.webp
Crescentmoon Dagger,"Every 10 seconds, your Secondary will deal an additional 400 damage on hit.",Night,sprites/Crescentmoon_Dagger_Icon.webp
Lullaby Harp,"Every 10 seconds, resets Defensive cooldowns for you and all allies.",Night,sprites/Lullaby_Harp_Icon.webp
Nightstar Grimoire,"Every 25 seconds, deal 900 damage to all enemies.",Night,sprites/Nightstar_Grimoire_Icon.webp
Moon Pendant,"Every 12 seconds, using your Special will deal 400 damage to enemies in a moderate radius around you.",Night,sprites/Moon_Pendant_Icon.webp
Pajama Hat,Defensive and loot cooldowns are shortened by 2 seconds.,Night,sprites/Pajama_Hat_Icon.webp
Stuffed Rabbit,"Increases Special damage by 20%.
Every 12 seconds, using your Special will grant you invulnerability for 3 seconds.Starts battle on cooldown.",Night,sprites/Stuffed_Rabbit_Icon.webp
Nightingale Gown,"Every 15 seconds, OMEGACHARGE your Special.",Night,sprites/Nightingale_Gown_Icon.webp
Eternity Flute,"Every 12 seconds, grants HASTE to all allies for 5 seconds.",Timespace,sprites/Eternity_Flute_Icon.webp
Timewarp Wand,Your Secondary has a 40% chance of giving you HASTE for 5 seconds.,Timespace,sprites/Timewarp_Wand_Icon.webp
Chrome Shield,Using your Defensive will grant you HASTE for 8 seconds.,Timespace,sprites/Chrome_Shield_Icon.webp
Clockwork Tome,Your Special has a 50% chance of giving you HASTE for 8 seconds.,Timespace,sprites/Clockwork_Tome_Icon.webp
Metronome Boots,"Your GCDs become 1.10 seconds.
Also moderately increases movement speed.",Timespace,sprites/Metronome_Boots_Icon.webp
Timemage Cap,Cooldowns less than or equal to 10 seconds become 5 seconds.,Timespace,sprites/Timemage_Cap_Icon.webp
Starry Cloak,Your Defensive's cooldown becomes 10 seconds.,Timespace,sprites/Starry_Cloak_Icon.webp
Gemini Necklace,Your Special and Defensive have a 30% chance of instantly resetting when used.,Timespace,sprites/Gemini_Necklace_Icon.webp
Hawkfeather Fan,Reduces your Special's cooldown by 2 seconds.,Wind,sprites/Hawkfeather_Fan_Icon.webp
Windbite Dagger,"Your Secondary's GCD becomes 0.50 seconds, but its damage is reduced by 60%.",Wind,sprites/Windbite_Dagger_Icon.webp
Pidgeon Bow,"Every 3 seconds, fires a projectile at your targeted enemy that deals 70 damage.",Wind,sprites/Pidgeon_Bow_Icon.webp
Shinsoku Katana,Your Primary's GCD has a 50% chance to be 0.80 seconds instead of its normal amount.,Wind,sprites/Shinsoku_Katana_Icon.webp
Eaglewing Charm,All your abilities deal 20 more damage.,Wind,sprites/Eaglewing_Charm_Icon.webp
Sparrow Feather,Deals 50 damage to all enemies when your Primary or Secondary is used.,Wind,sprites/Sparrow_Feather_Icon.webp
Winged Cap,"Grants a brief speed boost when your Secondary is used.
Also increases base movement speed slightly.",Wind,sprites/Winged_Cap_Icon.webp
Thief's Coat,"Every 10 seconds, VANISH for 3 seconds and gain a brief speed boost when you use your Special.
Also increases base movement speed slightly.",Wind,sprites/Thief's_Coat_Icon.webp
Vampiric Dagger,Your Secondary inflicts BLEED.,Bloodwolf,sprites/Vampiric_Dagger_Icon.webp
