Item,Effect,Set
Raven Grimoire,Your Special applies CURSE.,Arcane
Blackwing Staff,Your Primary applies CURSE.,Arcane
Curse Talon,Your Secondary applies CURSE.,Arcane
Darkmagic Blade,"Every 10 seconds, slices the air around you dealing 300 damage and applying CURSE to nearby enemies.",Arcane
Witch's Cloak,"Your Secondary deals 10% more damage.
Debuffs you place deal 70% more damage.",Arcane
Crowfeather Hairpin,"Increases Special damage by 20%.
When you place a debuff on an opponent, your Special has a 50% chance of resetting.",Arcane
Redblack Ribbon,"You deal 5% more damage.
When you place a debuff on an opponent, your Defensive has a 50% chance of resetting.",Arcane
Opal Necklace,"When you use your Defensive, apply CURSE to all enemies.",Arcane
Sleeping Greatbow,"Every 6 seconds, fires a slow-moving projectile at your targeted enemy that deals 200 damage.",Night
Crescentmoon Dagger,"Every 10 seconds, your Secondary will deal an additional 400 damage on hit.",Night
Lullaby Harp,"Every 10 seconds, resets Defensive cooldowns for you and all allies.",Night
Nightstar Grimoire,"Every 25 seconds, deal 900 damage to all enemies.",Night
Moon Pendant,"Every 12 seconds, using your Special will deal 400 damage to enemies in a moderate radius around you.",Night
Pajama Hat,Defensive and loot cooldowns are shortened by 2 seconds.,Night
Stuffed Rabbit,"Increases Special damage by 20%.
Every 12 seconds, using your Special will grant you invulnerability for 3 seconds.Starts battle on cooldown.",Night
Nightingale Gown,"Every 15 seconds, OMEGACHARGE your Special.",Night
Eternity Flute,"Every 12 seconds, grants HASTE to all allies for 5 seconds.",Timespace
Timewarp Wand,Your Secondary has a 40% chance of giving you HASTE for 5 seconds.,Timespace
Chrome Shield,Using your Defensive will grant you HASTE for 8 seconds.,Timespace
Clockwork Tome,Your Special has a 50% chance of giving you HASTE for 8 seconds.,Timespace
Metronome Boots,"Your GCDs become 1.10 seconds.
Also moderately increases movement speed.",Timespace
Timemage Cap,Cooldowns less than or equal to 10 seconds become 5 seconds.,Timespace
Starry Cloak,Your Defensive's cooldown becomes 10 seconds.,Timespace
Gemini Necklace,Your Special and Defensive have a 30% chance of instantly resetting when used.,Timespace
Hawkfeather Fan,Reduces your Special's cooldown by 2 seconds.,Wind
Windbite Dagger,"Your Secondary's GCD becomes 0.50 seconds, but its damage is reduced by 60%.",Wind
Pidgeon Bow,"Every 3 seconds, fires a projectile at your targeted enemy that deals 70 damage.",Wind
Shinsoku Katana,Your Primary's GCD has a 50% chance to be 0.80 seconds instead of its normal amount.,Wind
Eaglewing Charm,All your abilities deal 20 more damage.,Wind
Sparrow Feather,Deals 50 damage to all enemies when your Primary or Secondary is used.,Wind
Winged Cap,"Grants a brief speed boost when your Secondary is used.
Also increases base movement speed slightly.",Wind
Thief's Coat,"Every 10 seconds, VANISH for 3 seconds and gain a brief speed boost when you use your Special.
Also increases base movement speed slightly.",Wind
Vampiric Dagger,Your Secondary inflicts BLEED.,Bloodwolf
Bloody Bandage,"When you use your Defensive, apply BLEED to all enemies.",Bloodwolf
Leech Staff,Your Primary inflicts BLEED.,Bloodwolf
Bloodhound Greatsword,"Every 10 seconds, slices the air around you dealing 300 damage and applying BLEED to nearby enemies.",Bloodwolf
Reaper Cloak,Your Defensive additionally deals 100 damage 3 times to enemies facing away from you.,Bloodwolf
Bloodflower Brooch,All abilities deal 40 damage 2 times to enemies facing away from you.,Bloodwolf
Wolf Hood,"Every 6 seconds when you use your Primary, deal 250 damage to enemies facing away from you.",Bloodwolf
Blood Vial,"At the start of each fight, inflict all enemies with SAP for 60 seconds.",Bloodwolf
Black Wakizashi,"Your Primary has a 30% chance of dealing an additional 3 blows, dealing 50 damage each, in a radius around your target enemy.",Assassin
Throwing Dagger,"Every 5 seconds, fires a projectile at your targeted enemy that deals 120 damage.
Cooldown resets every time you use your Special.",Assassin
Assassin's Knife,"Your Secondary has a 30% chance of dealing an additional 2 blows, dealing 50 damage each, in a radius around your target enemy.",Assassin
Ninjutsu Scroll,"Your Special has a 30% chance of dealing an additional 3 blows, dealing 150 damage each, in a radius around your target enemy.",Assassin
Shadow Bracelet,Abilities and loot that hit more than once deal 30 more damage.,Assassin
Ninja Robe,"When a % chance succeeds, erase projectiles around you and VANISH for 3 seconds.",Assassin
Kunoichi Hood,"Your abilities do 15 more damage.
Your loot does 50 more damage.",Assassin
Shinobi Tabi,"Standing still will cause you to VANISH for 5 seconds and resets your Special.
Available every 8 seconds.Starts battle on cooldown.",Assassin
Dragonhead Spear,"Your Primary is 40% more powerful, but gains a cooldown of 3 seconds.
Also slightly reduces movement speed.",Rockdragon
Granite Greatsword,"Every 16 seconds, slices a large radius around you dealing 700 damage.",Rockdragon
Greysteel Shield,"Your Defensive has a 30% larger radius.
Invulnerability effects last 1 second longer.",Rockdragon
Stonebreaker Staff,"Your Special's cooldown is increased by 2 seconds, but deals 40% more damage.",Rockdragon
Tough Gauntlet,"Your abilities and loot all deal 30% more damage, but all GCDs are 0.20 seconds longer.",Rockdragon
Rockdragon Mail,"Your movement speed is significantly reduced.
Will shield you from damage every 45 seconds.Starts battle on 5 second cooldown.",Rockdragon
Obsidian Hairpin,"Increases Special damage by 20%.
Whenever you gain invulnerability, your Special has a 50% percent chance of resetting.",Rockdragon
Iron Greaves,"Every 12 seconds, standing still will grant brief invulnerability and reset your Defensive.
Movement speed is slightly reduced.Starts battle on cooldown.",Rockdragon
Volcano Spear,Your Primary inflicts BURN.,Flame
Reddragon Blade,Your Secondary inflicts BURN.,Flame
Flame Bow,"Every 10 seconds, fires a projectile at your targeted enemy that deals 180 damage and applies BURN.",Flame
Meteor Staff,Your Special inflicts BURN.,Flame
Phoenix Charm,"If you perish in battle, restore to full HP instead.
Only works once.",Flame
Firescale Corset,"All of your cooldowns are reduced by 3 seconds.
If you use your Defensive, this effect ends until the end of battle.",Flame
Demon Horns,"All your abilities and loot deal 30% more damage.
If you use your Defensive, this effect ends until the end of battle.",Flame
Flamewalker Boots,"All GCDs are shortened by 15% and your movement speed is increased significantly.
If you use your Defensive, this effect ends until the end of battle.",Flame
Diamond Shield,"Every 25 seconds, using your Defensive will grant you invulnerability for 5 seconds and erase projectiles in a large radius around you.
Starts battle on 10 second cooldown.",Gem
Peridot Rapier,"Increases Secondary damage by 20%.
Every 8 seconds, using your Secondary will grant you brief invulnerability and erase projectiles in a large radius around you.",Gem
Garnet Staff,"Increases Special damage by 20%.
Your Special will erase projectiles in a radius around you and grant brief invulnerability.",Gem
Sapphire Violin,"Every 18 seconds, grants ELEGY to all allies for 8 seconds.
Breaks if you take damage twice.Starts battle on cooldown.",Gem
Emerald Chestplate,"The counter on this item will decrease instead of you taking damage.
The counter starts at 3 on pickup.",Gem
Amethyst Bracelet,"Deal 30% more damage.
Breaks if you take damage 3 times.",Gem
Topaz Charm,"Gain 8 extra Gold at the end of each fight.
Breaks if you take damage 3 times.",Gem
Ruby Circlet,"Your Special deals 80% more damage.
Breaks if you take damage once.",Gem
Brightstorm Spear,Has a 30% chance of dealing 100 damage to all enemies when your Primary does damage.,Lightning
Bolt Staff,Deals 150 damage to all enemies when you use your Special.,Lightning
Lightning Bow,"Every 12 seconds, fires a projectile at your targeted enemy that deals 300 damage.
Cooldown instantly resets when a % chance succeeds.",Lightning
Darkstorm Knife,Has a 30% chance of dealing 100 damage to all enemies when your Secondary does damage.,Lightning
Darkcloud Necklace,Damage from loot is increased 50%.,Lightning
Crown of Storms,"When a % chance succeeds, deal 200 damage to all enemies.",Lightning
Thunderclap Gloves,All abilities have a 20% chance of dealing 200 damage to all enemies when used.,Lightning
Storm Petticoat,Do 250 damage to all enemies when you gain invulnerability.,Lightning
Holy Greatsword,"Every 10 seconds, grants you SMITE and then slices the air around you, dealing 200 damage to nearby enemies.",Shrine
Sacred Bow,"Every 10 seconds, fires a projectile at your targeted enemy that deals 250 damage.
Cooldown instantly resets when you gain a buff.",Shrine
Purification Rod,"Every 18 seconds, using your Primary will give you ELEGY for 5 seconds.",Shrine
Ornamental Bell,"Every 15 seconds, grants SMITE to all allies for 10 seconds.",Shrine
Shrinemaiden's Kosode,"When you have a buff, your movement speed increases significantly and you deal 25% more damage.",Shrine
Redwhite Ribbon,"You deal 5% more damage.
Buffs you place last 50% longer.",Shrine
Divine Mirror,"Every 10 times you use an ability, deal 500 damage to all enemies.",Shrine
Golden Chime,"Every 2 times you use your Defensive, gain ELEGY.",Shrine
Book of Cheats,"Your Special will have random, chaotic effects.",Lucky
Golden Katana,Your Primary and Secondary have a 5% chance to deal 100 damage 5 times to a large radius around your targeted enemy when used.,Lucky
Glittering Trumpet,"Every 20 seconds, grant RABBITLUCK to all allies.
Cooldown cannot be reset by ability or loot effects.",Lucky
Royal Staff,Your Special deals extra damage based on how much gold you have (1% for every 1 gold).,Lucky
Ballroom Gown,Makes you slightly luckier and slightly increases your movement speed.,Lucky
Silver Coin,"On pickup, gain 30 gold.",Lucky
Queen's Crown,"Critical hits now deal 175% extra damage, instead of their normal 75% extra damage.",Lucky
Mimick Rabbitfoot,"Makes you significantly luckier.
Not a real rabbit's foot.",Lucky
Butterfly Ocarina,"On pickup, heal all allies for 1.
Heals all allies for 1 HP every 2 fights.",Life
Fairy Spear,"Your Primary has a 30% larger radius and deals 30% more damage, but stops movement when used.",Life
Moss Shield,"Every 12 seconds, using your Defensive will reset its cooldown instantly.",Life
Floral Bow,"Every 6 seconds, fires a projectile at your targeted enemy that deals 250 damage.
Only activates while standing still.",Life
Blue Rose,"Your max HP is increased by 1.
Has a 50% chance of healing you for 1 at the end of each fight.",Life
Sunflower Crown,"Your max HP is increased by 1.
You become able to graze slightly into a projectile without taking damage.",Life
Midsummer Dress,"Your max HP is increased by 1.
Ability or loot effects that temporarily slow your movement no longer affect you.",Life
Grasswoven Bracelet,"Your max HP is increased by 1.
All abilities and loot's hitboxes are 30% larger.",Life
Snakefang Dagger,Your Secondary applies POISON for 5 seconds.,Poison
Ivy Staff,Your Primary applies POISON for 5 seconds.,Poison
Deathcap Tome,Your Special applies POISON for 5 seconds.,Poison
Spiderbite Bow,"Every 10 seconds, fires a projectile at your targeted enemy that deals 50 damage and applies POISON for 5 seconds.",Poison
Compound Gloves,"When you deal damage, has a 10% chance to apply DECAY.",Poison
Poisonfrog Charm,"When a % chance succeeds, apply POISON to all enemies for 5 seconds.",Poison
Venom Hood,"Your abilities do 15 more damage.
Debuffs you place deal 50 more damage.",Poison
